Dataset,Hyperparameter,Value,N_Experiments,Mean_Test_RMSE,Min_Test_RMSE
Half_Life_Obach,graph_layers,2,59,18.3462,0.9588
Half_Life_Obach,graph_layers,3,46,167.9483,0.9492
Half_Life_Obach,graph_layers,4,55,19.4484,16.5095
Half_Life_Obach,graph_layers,5,9,5.2258,0.8388
Half_Life_Obach,graph_layers,6,4,18.3709,17.15
Half_Life_Obach,graph_hidden_channels,32,4,1.064,0.9756
Half_Life_Obach,graph_hidden_channels,64,31,24.0286,0.9492
Half_Life_Obach,graph_hidden_channels,128,70,18.28,0.8388
Half_Life_Obach,graph_hidden_channels,256,55,19.2054,15.8209
Half_Life_Obach,graph_hidden_channels,512,13,549.3274,17.293
Half_Life_Obach,learning_rate,5e-05,1,17.3537,17.3537
Half_Life_Obach,learning_rate,0.0001,33,28.3007,16.9226
Half_Life_Obach,learning_rate,0.0005,37,19.2176,15.8209
Half_Life_Obach,learning_rate,0.001,94,16.4515,0.8388
Half_Life_Obach,learning_rate,0.002,4,1612.7407,18.2902
Half_Life_Obach,learning_rate,0.005,4,17.2852,16.8568
Half_Life_Obach,dropout,0.0,2,297.6899,297.6899
Half_Life_Obach,dropout,0.05,4,18.9153,17.3071
Half_Life_Obach,dropout,0.1,67,117.4737,15.8209
Half_Life_Obach,dropout,0.2,65,19.3061,16.6202
Half_Life_Obach,dropout,0.3,20,18.9296,16.8316
Half_Life_Obach,use_edge_features,True,97,86.8461,15.8209
Half_Life_Obach,use_edge_features,False,61,24.5096,16.5095
Clearance_Hepatocyte_AZ,graph_layers,2,26,95.7959,1.2302
Clearance_Hepatocyte_AZ,graph_layers,3,21,122.5927,1.2214
Clearance_Hepatocyte_AZ,graph_layers,4,25,133.8014,47.1796
Clearance_Hepatocyte_AZ,graph_layers,5,7,1.2373,1.1921
Clearance_Hepatocyte_AZ,graph_hidden_channels,32,3,1.3064,1.304
Clearance_Hepatocyte_AZ,graph_hidden_channels,64,24,40.3354,1.2214
Clearance_Hepatocyte_AZ,graph_hidden_channels,128,30,109.5041,1.1921
Clearance_Hepatocyte_AZ,graph_hidden_channels,256,22,183.6572,48.7844
Clearance_Hepatocyte_AZ,learning_rate,5e-05,1,52.7097,52.7097
Clearance_Hepatocyte_AZ,learning_rate,0.0001,20,52.3951,49.9025
Clearance_Hepatocyte_AZ,learning_rate,0.0005,13,177.325,48.9361
Clearance_Hepatocyte_AZ,learning_rate,0.001,45,109.84,1.1921
Clearance_Hepatocyte_AZ,dropout,0.0,2,60.97,60.97
Clearance_Hepatocyte_AZ,dropout,0.1,24,187.4223,47.1796
Clearance_Hepatocyte_AZ,dropout,0.2,25,117.4379,48.7173
Clearance_Hepatocyte_AZ,dropout,0.3,13,60.1857,48.9361
Clearance_Hepatocyte_AZ,use_edge_features,True,34,169.6092,48.7647
Clearance_Hepatocyte_AZ,use_edge_features,False,30,86.5777,47.1796
Clearance_Microsome_AZ,graph_layers,2,25,34.8907,1.1804
Clearance_Microsome_AZ,graph_layers,3,21,35.4245,1.15
Clearance_Microsome_AZ,graph_layers,4,25,44.274,36.4899
Clearance_Microsome_AZ,graph_layers,5,8,1.102,1.0184
Clearance_Microsome_AZ,graph_hidden_channels,32,3,1.209,1.1981
Clearance_Microsome_AZ,graph_hidden_channels,64,23,30.2521,1.0407
Clearance_Microsome_AZ,graph_hidden_channels,128,31,33.0926,1.0184
Clearance_Microsome_AZ,graph_hidden_channels,256,22,44.1972,37.6743
Clearance_Microsome_AZ,learning_rate,5e-05,1,44.3931,44.3931
Clearance_Microsome_AZ,learning_rate,0.0001,20,43.4695,38.9454
Clearance_Microsome_AZ,learning_rate,0.0005,13,41.3589,37.0831
Clearance_Microsome_AZ,learning_rate,0.001,45,28.6321,1.0184
Clearance_Microsome_AZ,dropout,0.0,2,44.2912,44.2912
Clearance_Microsome_AZ,dropout,0.1,24,43.5962,36.4899
Clearance_Microsome_AZ,dropout,0.2,25,41.9615,37.7896
Clearance_Microsome_AZ,dropout,0.3,13,41.504,38.9454
Clearance_Microsome_AZ,use_edge_features,True,34,43.6219,37.0831
Clearance_Microsome_AZ,use_edge_features,False,30,41.2429,36.4899
